Rank,Player,Club,Nationality,Stat
1,Matty Cash,Aston Villa,Poland,1008
1,Sadio Mané,,Senegal,1008
1,Ethan Ampadu,Sheffield United,Wales,1006
1,Riyad Mahrez,Manchester City,Algeria,1004
1,John Lundstram,,England,999
1,David Luiz,,Brazil,998
1,Jordan Pickford,Everton,England,998
1,Leandro Trossard,,Belgium,998
1,Bernd Leno,,Germany,997
1,Jack Grealish,,England,996
1,Charlie Taylor,Burnley,England,990
1,Jack Harrison,,England,989
1,Alisson,Liverpool,Brazil,988
1,Robert Sánchez,Brighton & Hove Albion,Spain,984
1,Bukayo Saka,Arsenal,England,978
1,Nampalys Mendy,,Senegal,973
1,Curtis Jones,Liverpool,England,966
1,Ederson,Manchester City,Brazil,959
1,Patrick van Aanholt,,Netherlands,952
1,Matheus Pereira,,Brazil,940
1,Alex McCarthy,Southampton,England,940
1,Semi Ajayi,West Bromwich Albion,Nigeria,937
1,Adam Lallana,Brighton & Hove Albion,England,923
1,Vicente Guaita,Crystal Palace,Spain,921
1,Conor Townsend,West Bromwich Albion,England,918
1,David McGoldrick,,Ireland,909
1,Harry Kane,Tottenham Hotspur,England,908
1,Édouard Mendy,Chelsea,Senegal,899
1,Hugo Lloris,Tottenham Hotspur,France,898
1,George Baldock,Sheffield United,Greece,897
1,Conor Gallagher,,England,890
1,Mario Lemina,,Gabon,887
1,Raphinha,,Brazil,876
1,André Gomes,,Portugal,876
1,James Milner,Liverpool,England,857
1,Lukasz Fabianski,West Ham United,Poland,856
1,Gylfi Sigurdsson,,Iceland,853
1,Miguel Almirón,Newcastle United,Paraguay,850
1,Nick Pope,,England,839
1,Alphonse Aréola,,France,838
1,Federico Fernández,,Argentina,834
1,Kyle Bartley,West Bromwich Albion,England,827
1,Joel Ward,Crystal Palace,England,819
1,Darnell Furlong,West Bromwich Albion,England,816
1,Dara O'Shea,West Bromwich Albion,Ireland,810
1,Ollie Watkins,Aston Villa,England,804
1,Sèrge Aurier,,Cote D’Ivoire,792
1,Ciaran Clark,,Ireland,790
1,Isaac Hayden,,England,788
1,Timo Werner,,Germany,779
1,James McArthur,Crystal Palace,Scotland,772
1,Robin Koch,Leeds United,Germany,769
1,Kai Havertz,Chelsea,Germany,766
1,Craig Dawson,,England,764
1,Phil Foden,Manchester City,England,762
1,Moussa Sissoko,,France,761
1,Bobby De Cordova-Reid,,Jamaica,760
1,Ross Barkley,,England,753
2,Nathan Aké,Manchester City,Netherlands,751
2,Marc Albrighton,,England,749
2,Richarlison,,Brazil,749
2,Gary Cahill,,England,746
2,Maximilian Kilman,Wolverhampton Wanderers,England,745
2,Ben Osborn,Sheffield United,England,743
2,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,734
2,Gabriel Jesus,,Brazil,732
2,Ruben Loftus-Cheek,Fulham,England,726
2,Emile Smith Rowe,Arsenal,England,726
2,Ivan Cavaleiro,,Portugal,724
2,Romaine Sawyers,,St. Kitts & Nevis,720
2,Diego Llorente,,Spain,718
2,Solly March,Brighton & Hove Albion,England,717
2,Mason Greenwood,,England,714
2,Andros Townsend,,England,703
2,Adama Traoré,Wolverhampton Wanderers,Spain,700
2,Bertrand Traoré,Aston Villa,Burkina Faso,700
2,Tom Davies,Everton,England,697
2,Nathan Redmond,,England,697
2,Kenny Tete,Fulham,Netherlands,690
2,Harry Winks,,England,681
2,Willian,,Brazil,677
2,Matt Doherty,,Ireland,676
2,Dominic Calvert-Lewin,Everton,England,675
2,Hakim Ziyech,Chelsea,Morocco,666
2,Rui Patrício,,Portugal,662
2,Christian Pulisic,Chelsea,United States,662
2,Chris Wood,,New Zealand,653
2,Jamal Lewis,Newcastle United,Northern Ireland,650
2,Neal Maupay,,France,650
2,Ainsley Maitland-Niles,West Bromwich Albion,England,648
2,Séamus Coleman,,Ireland,645
2,Ben Davies,Tottenham Hotspur,Wales,645
2,Scott Dann,,England,640
2,Jordan Ayew,Crystal Palace,Ghana,633
2,Jesse Lingard,,England,633
2,Jairo Riedewald,Crystal Palace,Netherlands,630
2,Pablo Marí,,Spain,629
2,Nicolas Pépé,,Cote D’Ivoire,629
2,Karl Darlow,,England,628
2,Rayan Aït-Nouri,,Algeria,627
2,Pierre-Emerick Aubameyang,,Gabon,624
2,Jamaal Lascelles,Newcastle United,England,621
2,Jarrod Bowen,West Ham United,England,620
2,Ché Adams,Southampton,Scotland,610
2,Harvey Barnes,Leicester City,England,605
2,Daniel Podence,Wolverhampton Wanderers,Portugal,601
2,Tyrick Mitchell,Crystal Palace,England,599
2,Alex Iwobi,Everton,Nigeria,595
2,Tom Cairney,Fulham,Scotland,594
2,Ibrahima Diallo,Southampton,France,588
2,Ozan Kabak,,Turkey,584
2,Issa Diop,,France,583
2,Joelinton,Newcastle United,Brazil,582
2,Fabian Schär,Newcastle United,Switzerland,581
2,Callum Hudson-Odoi,,England,576
2,Christian Benteke,,Belgium,575
2,Giovani Lo Celso,,Argentina,570
2,Lucas Moura,Tottenham Hotspur,Brazil,569
2,Eric Bailly,,Cote D’Ivoire,562
2,Rodrigo,Leeds United,Spain,559
2,Sean Longstaff,Newcastle United,England,558
2,Joe Gomez,Liverpool,England,556
2,Benjamin Mendy,,France,553
