Rank,Player,Club,Nationality,Stat
1,Andros Townsend,,England,2259
1,Gylfi Sigurdsson,,Iceland,2256
1,Joel Ward,Crystal Palace,England,2255
1,Harrison Reed,Fulham,England,2251
1,Karl Darlow,,England,2250
1,Sergio Reguilón,,Spain,2248
1,Toby Alderweireld,,Belgium,2241
1,Conor Townsend,West Bromwich Albion,England,2235
1,Oliver Norwood,Sheffield United,Northern Ireland,2224
1,César Azpilicueta,Chelsea,Spain,2191
1,Liam Cooper,Leeds United,Scotland,2187
1,Danny Ings,,England,2185
1,Jack Grealish,,England,2184
1,Wilfred Ndidi,Leicester City,Nigeria,2179
1,Antonee Robinson,Fulham,United States,2162
1,N'Golo Kanté,Chelsea,France,2145
1,Scott McTominay,Manchester United,Scotland,2127
1,Tanguy Ndombélé,,France,2106
1,James Maddison,Leicester City,England,2103
1,Dara O'Shea,West Bromwich Albion,Ireland,2102
1,Jordan Ayew,Crystal Palace,Ghana,2097
1,Héctor Bellerín,,Spain,2093
1,Ethan Ampadu,Sheffield United,Wales,2090
1,Callum Wilson,Newcastle United,England,2085
1,Federico Fernández,,Argentina,2082
1,Pascal Struijk,Leeds United,Netherlands,2076
1,Bernardo Silva,Manchester City,Portugal,2071
1,James Justin,Leicester City,England,2070
1,Dan Burn,,England,2059
1,Gabriel Jesus,,Brazil,2059
1,Allan,,Brazil,2052
1,John Lundstram,,England,2032
1,Ilkay Gündogan,Manchester City,Germany,2030
1,Kurt Zouma,,France,2027
1,Jorginho,,Italy,2014
1,Kevin De Bruyne,Manchester City,Belgium,2001
1,Gabriel Magalhães,Arsenal,Brazil,1997
1,Joelinton,Newcastle United,Brazil,1985
1,Michail Antonio,,Jamaica,1983
1,Ruben Loftus-Cheek,Fulham,England,1973
1,Riyad Mahrez,Manchester City,Algeria,1954
1,Harvey Barnes,Leicester City,England,1949
1,Kyle Walker,Manchester City,England,1946
1,Isaac Hayden,,England,1944
1,Yerry Mina,Everton,Colombia,1939
1,Thiago Silva,Chelsea,Brazil,1938
1,John Stones,Manchester City,England,1934
1,Alexandre Lacazette,,France,1927
1,Craig Dawson,,England,1926
1,Paul Pogba,,France,1896
1,Ciaran Clark,,Ireland,1893
1,Willy Boly,,Cote D’Ivoire,1880
1,Thiago Alcântara,Liverpool,Spain,1858
1,Jamal Lewis,Newcastle United,Northern Ireland,1833
1,Matt Phillips,West Bromwich Albion,Scotland,1827
