Rank,Player,Club,Nationality,Stat
6,Mohamed Salah,Liverpool,Egypt,1
6,Jonjo Shelvey,,England,1
6,Emile Smith Rowe,Arsenal,England,1
6,Tomás Soucek,West Ham United,[object Object],1
6,Diogo Jota,Liverpool,Portugal,1
6,James Tomkins,Crystal Palace,England,1
6,Conor Townsend,West Bromwich Albion,England,1
6,Donny van de Beek,Manchester United,Netherlands,1
6,Jannik Vestergaard,,Denmark,1
6,Theo Walcott,,England,1
6,Kyle Walker-Peters,Southampton,England,1
6,Joel Ward,Crystal Palace,England,1
6,Ashley Westwood,,England,1
6,Georginio Wijnaldum,,Netherlands,1
6,André-Frank Zambo Anguissa,,Cameroon,1
6,Hakim Ziyech,Chelsea,Morocco,1
1,Ola Aina,Fulham,Nigeria,0
1,Semi Ajayi,West Bromwich Albion,Nigeria,0
1,Edinson Cavani,,Uruguay,0
1,Grady Diangana,West Bromwich Albion,England,0
