Rank,Player,Club,Nationality,Stat
1,Stuart Armstrong,Southampton,Scotland,1
1,Sèrge Aurier,,Cote D’Ivoire,1
1,Charlie Austin,,England,1
1,Luke Ayling,Leeds United,England,1
1,Héctor Bellerín,,Spain,1
1,Willy Boly,,Cote D’Ivoire,1
1,Willian,,Brazil,1
1,Kean Bryan,,England,1
1,Nélson Semedo,Wolverhampton Wanderers,Portugal,1
1,Gary Cahill,,England,1
1,João Cancelo,,Portugal,1
1,Ben Chilwell,Chelsea,England,1
1,Hamza Choudhury,,England,1
1,Ciaran Clark,,Ireland,1
1,Séamus Coleman,,Ireland,1
1,Scott Dann,,England,1
1,Ibrahima Diallo,Southampton,France,1
1,Grady Diangana,West Bromwich Albion,England,1
1,Issa Diop,,France,1
1,Moussa Djenepo,Southampton,Mali,1
1,Matt Doherty,,Ireland,1
1,Gabriel Magalhães,Arsenal,Brazil,1
1,Abdoulaye Doucouré,Everton,Mali,1
1,Thiago Silva,Chelsea,Brazil,1
1,Eberechi Eze,Crystal Palace,England,1
1,Ryan Fraser,Newcastle United,Scotland,1
1,Fábio Carvalho,,Portugal,1
1,Conor Gallagher,,England,1
1,Morgan Gibbs-White,,England,1
1,Kortney Hause,,England,1
1,Pablo Hernández,,Spain,1
1,Mason Holgate,Everton,England,1
1,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,1
1,Alex Iwobi,Everton,Nigeria,1
1,Dan James,,Wales,1
1,Curtis Jones,Liverpool,England,1
1,James Justin,Leicester City,England,1
1,Aboubakar Kamara,,Mauritania,1
1,N'Golo Kanté,Chelsea,France,1
1,Joshua King,,Norway,1
1,Cheikhou Kouyaté,,Senegal,1
1,Tariq Lamptey,Brighton & Hove Albion,Ghana,1
1,Manuel Lanzini,West Ham United,Argentina,1
1,Aymeric Laporte,Manchester City,Spain,1
1,Diego Llorente,,Spain,1
1,Giovani Lo Celso,,Argentina,1
1,Kevin Long,,Ireland,1
1,Alexis Mac Allister,Brighton & Hove Albion,Argentina,1
1,Vitinha,,Portugal,1
1,Ainsley Maitland-Niles,West Bromwich Albion,England,1
1,Solly March,Brighton & Hove Albion,England,1
1,Arthur Masuaku,,DR Congo,1
1,Scott McTominay,Manchester United,Scotland,1
1,Ben Mee,,England,1
1,Luka Milivojevic,Crystal Palace,Serbia,1
1,Jakub Moder,Brighton & Hove Albion,Poland,1
1,Lys Mousset,,France,1
1,Jacob Murphy,Newcastle United,England,1
1,Tanguy Ndombélé,,France,1
1,Owen Otasowie,,United States,1
1,Thomas Partey,Arsenal,Ghana,1
1,Nathaniel Phillips,Liverpool,England,1
1,Jairo Riedewald,Crystal Palace,Netherlands,1
1,Tyler Roberts,,Wales,1
1,Andrew Robertson,Liverpool,Scotland,1
1,Jack Robinson,Sheffield United,England,1
1,Fred,Manchester United,Brazil,1
1,Lucas Moura,Tottenham Hotspur,Brazil,1
1,Fernandinho,,Brazil,1
