Rank,Player,Club,Nationality,Stat
1,Kyle Walker,Manchester City,England,17
1,Dele Alli,,England,16
1,Ricardo Pereira,Leicester City,Portugal,16
1,Vladimír Coufal,West Ham United,[object Object],16
1,Rúben Neves,Wolverhampton Wanderers,Portugal,16
1,Alexis Mac Allister,Brighton & Hove Albion,Argentina,16
1,Kalvin Phillips,,England,16
1,Ian Poveda-Ocampo,,England,16
1,Hal Robson-Kanu,West Bromwich Albion,Wales,16
1,Billy Sharp,Sheffield United,England,16
1,Hakim Ziyech,Chelsea,Morocco,16
1,Ezgjan Alioski,,North Macedonia,15
1,Steven Bergwijn,,Netherlands,15
1,Willian,,Brazil,15
1,Josh Brownhill,Burnley,England,15
1,Dani Ceballos,,Spain,15
1,Ibrahima Diallo,Southampton,France,15
1,Phil Foden,Manchester City,England,15
1,Jeff Hendrick,,Ireland,15
1,Callum Hudson-Odoi,,England,15
1,N'Golo Kanté,Chelsea,France,15
1,Adam Lallana,Brighton & Hove Albion,England,15
1,Arthur Masuaku,,DR Congo,15
1,Sergio Reguilón,,Spain,15
1,Tyler Roberts,,Wales,15
1,Jorginho,,Italy,14
1,Isaac Hayden,,England,14
1,James Justin,Leicester City,England,14
1,Giovani Lo Celso,,Argentina,14
1,Wilfred Ndidi,Leicester City,Nigeria,14
1,Moussa Sissoko,,France,14
1,Kieran Tierney,Arsenal,Scotland,14
1,James Ward-Prowse,Southampton,England,14
1,Sèrge Aurier,,Cote D’Ivoire,13
1,Sander Berge,Sheffield United,Norway,13
1,Matty Cash,Aston Villa,Poland,13
1,Jack Cork,Burnley,England,13
1,Willian José,,Brazil,13
1,Ilkay Gündogan,Manchester City,Germany,13
1,Trézéguet,,Egypt,13
1,Erik Lamela,,Argentina,13
1,Jamal Lewis,Newcastle United,Northern Ireland,13
1,Josh Maja,Fulham,Nigeria,13
1,Danny Welbeck,Brighton & Hove Albion,England,13
1,Wesley Fofana,,France,12
1,Jóhann Gudmundsson,Burnley,Iceland,12
1,James Milner,Liverpool,England,12
1,Tyrick Mitchell,Crystal Palace,England,12
1,Jacob Ramsey,Aston Villa,England,12
1,Luke Thomas,Leicester City,England,12
1,Jamie Vardy,Leicester City,England,12
1,Granit Xhaka,Arsenal,Switzerland,12
2,Sergio Agüero,,Argentina,11
2,Bernard,,Brazil,11
2,Tom Cairney,Fulham,Scotland,11
2,Timothy Castagne,Leicester City,Belgium,11
2,Leander Dendoncker,,Belgium,11
2,Nampalys Mendy,,Senegal,11
2,Takumi Minamino,,Japan,11
2,Andrew Robertson,Liverpool,Scotland,11
2,João Moutinho,Wolverhampton Wanderers,Portugal,11
2,Ashley Westwood,,England,11
2,Martin Ødegaard,,Norway,11
2,Ola Aina,Fulham,Nigeria,10
2,Edinson Cavani,,Uruguay,10
2,Tom Davies,Everton,England,10
2,Darnell Furlong,West Bromwich Albion,England,10
2,Matthew Lowton,,England,10
2,James McArthur,Crystal Palace,Scotland,10
2,Jakub Moder,Brighton & Hove Albion,Poland,10
2,Thomas Partey,Arsenal,Ghana,10
2,Erik Pieters,,Netherlands,10
2,Harrison Reed,Fulham,England,10
2,Romaine Sawyers,,St. Kitts & Nevis,10
2,Ben White,,England,10
2,Andrii Yarmolenko,,Ukraine,10
2,Marcos Alonso,,Spain,9
2,Cédric Soares,,Portugal,9
2,Steven Alzate,,Colombia,9
2,Robert Brady,,Ireland,9
2,Dan Burn,,England,9
2,Aaron Cresswell,West Ham United,England,9
2,Matt Doherty,,Ireland,9
2,Fábio Carvalho,,Portugal,9
2,Dan James,,Wales,9
2,Manuel Lanzini,West Ham United,Argentina,9
2,Lys Mousset,,France,9
2,Josh Onomah,,England,9
2,Dennis Praet,Leicester City,Belgium,9
2,Jairo Riedewald,Crystal Palace,Netherlands,9
2,Pascal Struijk,Leeds United,Netherlands,9
2,Charlie Taylor,Burnley,England,9
2,Cengiz Ünder,,[object Object],9
2,Okay Yokuslu,,[object Object],9
2,Ryan Bertrand,,England,8
